date,open,high,low,price,volume,return,log_return,range,vol_7p,vol_24p,ma_24,ma_168,price_ma_ratio,tx_count,hashrate,fees_btc,mempool_size,miners_revenue,difficulty,fg_score
2021-08-11 08:00:00+00:00,46349.26,46743.47,45800.0,46456.02,20831.989922,0.0023035971455847,0.0023009479333785,943.4700000000012,0.0203682568915455,0.0200697945159336,42853.06416666666,35849.67392857143,1.084076971003065,262437.0,105931446.20976518,13.263662280000004,1656698.59375,42939210.62213866,14496442856349.0,32.0
2021-08-11 16:00:00+00:00,46456.91,46680.0,45510.66,45511.0,16981.565163,-0.0203422505845313,-0.0205520036047034,1169.3399999999965,0.0140347358741765,0.0208690696630913,43157.395416666666,35892.30482142857,1.054535371298714,262437.0,105931446.20976518,13.263662280000004,3929200.671875,42939210.62213866,14496442856349.0,32.0
2021-08-12 00:00:00+00:00,45510.67,46218.12,44833.4,45243.61,19303.721957,-0.0058752828986399,-0.0058926102753697,1384.7200000000012,0.0134681224906517,0.0207387974898721,43466.34416666667,35928.23488095238,1.0408883210080564,250961.0,108813934.5420037,12.84363469000001,579662.59375,42929376.7834287,14496442856349.0,32.0
2021-08-12 08:00:00+00:00,45243.61,45662.74,43920.0,44196.19,21840.742725,-0.0231506725480128,-0.0234228584312043,1742.739999999998,0.0154917147169126,0.0205424521952142,43670.26875,35959.1175,1.012043004658633,250961.0,108813934.5420037,12.84363469000001,1471772.078125,42929376.7834287,14496442856349.0,32.0
2021-08-12 16:00:00+00:00,44196.19,44549.99,43770.0,44399.0,14121.644099,0.0045888570937902,0.0045783603887464,779.989999999998,0.0149406964810893,0.0205076775180974,43865.09458333333,35996.65339285714,1.012171532325147,250961.0,108813934.5420037,12.84363469000001,1836173.109375,42929376.7834287,14496442856349.0,32.0
2021-08-13 00:00:00+00:00,44400.06,46336.0,44217.39,46103.51,11866.044612,0.0383907295209351,0.037672139270802,2118.6100000000006,0.0213799226578948,0.0208063481547445,44166.46625,36046.58482142857,1.043857793354704,260624.0,108175319.62792765,23.579736179999998,2395836.609375,42018438.48174473,15324761487407.408,32.0
2021-08-13 08:00:00+00:00,46103.5,46666.0,45959.9,46357.15,18579.431944,0.0055015333973487,0.0054864552392017,706.0999999999985,0.0204714120019456,0.0206924218047698,44483.43041666667,36106.12083333333,1.04212174209099,260624.0,108175319.62792765,23.579736179999998,2723263.546875,42018438.48174473,15324761487407.408,32.0
2021-08-13 16:00:00+00:00,46357.15,47886.0,46222.31,47800.0,17793.893875,0.0311246485170033,0.0306500983253859,1663.6900000000023,0.0236205431216968,0.0188613585146402,44772.494583333326,36177.43130952381,1.0676197617497434,260624.0,108175319.62792765,23.579736179999998,6270303.015625,42018438.48174473,15324761487407.408,32.0
2021-08-14 00:00:00+00:00,47799.99,47834.12,47382.0,47616.12,9868.871614,-0.003846861924686,-0.0038542801286687,452.1200000000026,0.0214755354642228,0.0188754316266085,45059.43333333333,36247.84892857143,1.0567403200069836,209074.0,126820808.5468918,10.89573864,575302.515625,48765927.53500252,15556093717703.0,32.0
2021-08-14 08:00:00+00:00,47616.12,48144.0,45971.03,46944.47,26143.795653,-0.0141055172071978,-0.0142059455291821,2172.970000000001,0.0224790793590618,0.018246841134034,45257.12041666667,36312.31095238096,1.0372836267044496,209074.0,126820808.5468918,10.89573864,808980.625,48765927.53500252,15556093717703.0,32.0
