Date,Close,High,Low,Open,Volume,MVRV_proxy,exchange_net_flow_proxy,miner_revenue_proxy,Target_Direction
2022-05-28,28814.900390625,28814.900390625,28554.56640625,28622.625,35519577634,1.0,30876066479.57143,2.8814900390625002,1
2022-05-29,29445.95703125,29498.009765625,28841.107421875,29019.8671875,18093886409,1.0,30370688499.42857,2.944595703125,1
2022-05-30,31726.390625,31949.630859375,29303.572265625,29443.365234375,39277993274,1.0,31484194030.42857,3.1726390625,1
2022-05-31,31792.310546875,32249.86328125,31286.154296875,31723.865234375,33538210634,1.0,32473008943.142857,3.1792310546875,0
2022-06-01,29799.080078125,31957.28515625,29501.587890625,31792.5546875,41135817341,1.0,34417402341.71429,2.9799080078125,1
2022-06-02,30467.48828125,30604.734375,29652.705078125,29794.890625,29083562061,1.0,33318721871.57143,3.046748828125,0
2022-06-03,29704.390625,30633.03515625,29375.689453125,30467.806640625,26175547452,1.0,31832084972.142857,2.9704390625,1
2022-06-04,29832.9140625,29930.564453125,29500.005859375,29706.138671875,16588370958,1.0,29127626875.57143,2.98329140625,1
2022-06-05,29906.662109375,30117.744140625,29574.44921875,29835.1171875,17264085441,1.0,29009083880.142857,2.9906662109375,1
2022-06-06,31370.671875,31693.291015625,29894.1875,29910.283203125,31947336829,1.0,27961847245.142857,3.1370671875,0
2022-06-07,31155.478515625,31489.68359375,29311.68359375,31371.7421875,40770974039,1.0,28995099160.142857,3.1155478515625004,0
2022-06-08,30214.35546875,31253.69140625,29944.404296875,31151.48046875,30242059107,1.0,27438847983.857143,3.0214355468750003,0
2022-06-09,30111.998046875,30609.310546875,30020.265625,30215.279296875,21692004719,1.0,26382911220.714287,3.0111998046875,0
2022-06-10,29083.8046875,30245.80859375,28978.146484375,30110.330078125,29867476527,1.0,26910329660.0,2.9083804687500003,0
2022-06-11,28360.810546875,29401.916015625,28236.212890625,29084.666015625,27246574439,1.0,28432930157.285713,2.8360810546875,0
2022-06-12,26762.6484375,28502.685546875,26762.6484375,28373.513671875,34163220274,1.0,30847092276.285713,2.6762648437500003,0
2022-06-13,22487.388671875,26795.58984375,22141.2578125,26737.578125,68204556440,1.0,36026695077.85714,2.2487388671875,0
2022-06-14,22206.79296875,23018.951171875,20950.818359375,22487.986328125,50913575242,1.0,37475638106.85714,2.220679296875,1
